applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,CreditScore,Age
1,Rebecca,Olsen,Andrew Olsen,F,F,S,11-Jun-33,India,Y,ABKPO8224B,829-63-1808,passport,93,agree,26223 Bullock Island,Lake Tylerton,13454,West Virginia,India,091,248,9579216968,Rebecca.Olsen@hotmail.com,2088139,10124564.352941178,21-May-19,Community education officer,N,H,488351.0433333333,1465053.13,623085.87,2,86
2,Benjamin,Gardner,Tanya Gardner,S,M,M,01-Jun-75,India,Y,DOEPG7470E,186-75-6630,passport,20,chance,87856 Heidi Divide,Port Leon,53376,North Carolina,India,091,690,9463139674,Benjamin.Gardner@yahoo.com,3666225.572235294,10379314.88235294,21-May-19,Engineer- agricultural,N,M,499297.7560912941,2496488.7804564703,1169736.7917788236,3,44
3,Dr.,Jason Mendoza,Teresa Jason Mendoza,S,M,M,07-Jun-51,India,Y,CXPPJ8671F,677-07-5524,bank statement,45,way,4884 Lisa Prairie Suite 330,Port Michelle,36703,West Virginia,India,091,722,9167370902,Dr..Jason Mendoza@hotmail.com,927650,5615179.0,21-May-19,Quality manager,N,L,114587.58333333333,687525.5,240124.5,2,68
4,George,Thomas,Russell Thomas,F,M,S,04-Jun-60,India,Y,CGBPT6792I,208-86-9363,aadhaar,73,which,6230 Charles Summit,Terryside,39571,Utah,India,091,145,9601292986,George.Thomas@hotmail.com,3383186.9945882354,12248600.823529411,21-May-19,Press sub,N,M,459605.88080423535,2298029.4040211765,1085157.590567059,3,59
5,Jody,Palmer,James Palmer,S,F,M,01-Jun-72,India,Y,EFLPP7242I,550-63-7643,bank statement,7,today,90422 Natalie Mission,Wilsonstad,51203,New Mexico,India,091,342,9332635627,Jody.Palmer@gmail.com,2026284.6567058824,2479112.529411765,21-May-19,Clinical molecular geneticist,N,M,348990.9152923529,1395963.6611694116,630320.9955364707,1,47
6,William,Whitaker,Stephanie Whitaker,S,M,M,31-May-78,India,Y,AKIPW4518P,067-89-8924,passport,70,alone,7712 Young Lakes,Gutierrezchester,70796,Louisiana,India,091,165,9305947277,William.Whitaker@gmail.com,2771563.487764706,4225026.382352941,21-May-19,Surveyor- rural practice,N,M,474707.4724358823,1898829.8897435293,872733.5980211765,2,41
7,Eric,Lynn,Jesus Lynn,F,M,S,29-May-87,India,Y,CNFPL1713D,125-24-4606,passport,52,these,5204 Yolanda Village Apt. 624,East Juliamouth,35330,Vermont,India,091,012,9311915242,Eric.Lynn@hotmail.com,1256327.6171764706,9098517.588235294,21-May-19,Librarian- public,N,L,128332.53411462184,898327.7388023529,357999.87837411766,4,32
8,Thomas,Stokes,Cheryl Stokes,S,M,M,27-May-92,India,Y,EEHPS2240A,811-07-6657,bank statement,38,describe,861 Burns Estates,Port Laurabury,61375,Michigan,India,091,585,9843399246,Thomas.Stokes@gmail.com,1575402.3801176471,8477186.0,21-May-19,Health physicist,N,L,185596.4030347059,1113578.4182082354,461823.9619094118,3,27
9,Dale,Rodriguez,Kevin Rodriguez,F,M,S,28-May-88,India,Y,BYGPR5693T,479-28-2307,bank statement,8,bad,56717 Diaz Tunnel,Hernandezport,64997,Massachusetts,India,091,483,9133473744,Dale.Rodriguez@yahoo.com,2550689.769764706,7080923.117647059,21-May-19,Bonds trader,N,L,252263.49981193276,1765844.4986835294,784845.2710811765,5,31
10,Vincent,Jensen,Mariah Jensen,S,M,M,07-Jun-48,India,N,,723-33-9749,bank statement,28,range,257 Regina Courts Suite 046,Davidview,82280,Georgia,India,091,075,9344075090,Vincent.Jensen@gmail.com,1133323,3896388.088235294,21-May-19,Ergonomist,N,L,137554.40166666664,825326.4099999999,307996.59,1,71
11,James,Baker,Adam Baker,F,M,S,04-Jun-62,India,Y,BEKPB1759Y,243-59-8169,aadhaar,39,message,7509 Bobby View,Juliefurt,55730,Maine,India,091,519,9380768606,James.Baker@hotmail.com,3750189.6049411763,10348821.94117647,21-May-19,Hospital pharmacist,N,L,424182.93725764705,2545097.6235458823,1205091.981395294,4,57
12,Edward,Valdez,Maria Valdez,S,M,M,07-Jun-51,France,N,,146-82-9962,aadhaar,17,something,3001 Cunningham Unions Apt. 254,East Matthewtown,27421,Maine,France,001,829,9063495965,Edward.Valdez@yahoo.com,859230,5824610.0,21-May-19,Chemist- analytical,N,L,91669.15714285713,641684.1,217545.90000000002,2,68
13,Walter,Reese,Ryan Reese,F,M,S,02-Jun-70,India,Y,AAKPR0120N,390-46-7751,aadhaar,51,several,221 English Burgs,Abigailland,01934,Alaska,India,091,746,9254663373,Walter.Reese@yahoo.com,2073345.0463529413,4652736.55882353,21-May-19,Scientist- biomedical,N,L,237719.60860745097,1426317.6516447058,647027.3947082354,3,49
14,Brian,George,Robert George,F,M,M,06-Jun-54,India,N,,176-76-7689,voter id,49,question,43012 Cooper Lane,Romeroland,37160,Nebraska,India,091,675,9232529700,Brian.George@hotmail.com,2904603,9680735.5,21-May-19,Personnel officer,N,L,287440.57285714283,2012084.01,892518.99,3,65
15,Jeffrey,Tran,Morgan Tran,S,M,M,31-May-77,India,Y,DLKPT8865A,211-81-5618,aadhaar,91,foreign,12720 Rangel Knoll Apt. 753,North Andrew,01653,Virginia,India,091,169,9780286217,Jeffrey.Tran@gmail.com,1997154.1825882352,4125130.2352941176,21-May-19,Customer service manager,N,L,229897.90333019607,1379387.4199811765,617766.7626070589,2,42
16,Robert,Lutz,Nicolas Lutz,F,M,M,01-Jun-73,India,Y,DSSPL6830T,439-03-9788,bank statement,26,describe,259 Mendez Flat Suite 554,South Alyssamouth,84605,Michigan,India,091,013,9605553744,Robert.Lutz@yahoo.com,2636829.961882353,12193021.647058824,21-May-19,Counsellor,N,M,451404.3127329411,1805617.2509317645,831212.7109505882,3,46
17,Matthew,Cox,Kelsey Cox,S,M,M,27-May-95,India,Y,FCYPC4592J,420-02-4794,bank statement,16,upon,204 Whitaker Freeway Suite 769,North Jennifer,24208,Kentucky,India,091,375,9368440152,Matthew.Cox@yahoo.com,349254.33788235293,7921339.411764706,21-May-19,Planning and development surveyor,N,M,58588.31657035294,292941.5828517647,56312.75503058823,2,24
18,Thomas,Holden,Beverly Holden,S,M,M,29-May-84,India,Y,FLVPH0777S,125-84-7892,bank statement,88,life,91884 Kent Expressway,Lake Timothy,40830,Utah,India,091,809,9602696236,Thomas.Holden@yahoo.com,444270.1594117647,4172155.705882353,21-May-19,Retail merchandiser,N,M,68614.55430235295,343072.77151176473,101197.3879,1,35
19,Angel,Hatfield,Terry Hatfield,S,F,M,04-Jun-61,India,Y,CNDPH6357A,757-66-1427,bank statement,95,today,809 Ashley Forest Apt. 581,Carmenchester,19134,Kentucky,India,091,378,9459643441,Angel.Hatfield@yahoo.com,5680680.299764706,16572874.764705881,21-May-19,Programme researcher- broadcasting/film/video,N,M,767587.6307567059,3837938.153783529,1842742.1459811765,2,58
20,Kenneth,Vaughn,Michael Vaughn,F,M,M,08-Jun-44,India,Y,ERJPV6919A,203-34-4456,aadhaar,88,case,31238 Jones Cliffs Suite 380,Cordovamouth,47143,Nebraska,India,091,840,9710599003,Kenneth.Vaughn@gmail.com,1668323,7023727.264705882,21-May-19,Civil engineer- contracting,N,M,295944.1025,1183776.41,484546.59,1,75
21,Victor,Gordon,Christopher Gordon,F,M,M,07-Jun-49,India,N,,043-63-5710,voter id,68,medical,8505 John Oval,Jimenezchester,31726,Colorado,India,091,675,9852799518,Victor.Gordon@gmail.com,104659,6961654.411764706,21-May-19,Advertising copywriter,N,M,20931.800000000003,104659.0,0.0,1,70
22,Tony,White,Justin White,F,M,S,02-Jun-71,India,Y,BVZPW4818J,643-70-2623,voter id,84,wonder,334 Jeremiah Trace Apt. 994,Andersonburgh,12053,Maine,India,091,218,9850720430,Tony.White@gmail.com,1257269.3515294117,7110519.352941177,21-May-19,Operational researcher,N,M,220033.7928517647,880135.1714070588,377134.18012235296,3,48
23,Robert,Davis,Robert Davis,F,M,S,27-May-93,India,Y,CRJPD9157E,247-54-1808,passport,30,method,83467 Sheila Vista,South Melanieberg,35357,Wisconsin,India,091,434,9720485559,Robert.Davis@yahoo.com,1184729.5327058823,9640657.94117647,21-May-19,Education administrator,N,L,121731.67544134453,852121.7280894117,332607.8046164706,4,26
24,Christina,Bartlett,Drew Bartlett,F,F,M,09-Jun-40,India,N,,644-53-1349,voter id,98,amount,03955 Velazquez Burg,Andrewfort,22315,Illinois,India,091,546,9151903891,Christina.Bartlett@gmail.com,4093183,14752926.088235294,21-May-19,Chartered loss adjuster,N,M,702108.1525,2808432.61,1284750.3900000001,2,79
25,Brandon,Powell,Amy Powell,S,M,M,26-May-98,UK,N,,335-54-4325,bank statement,56,see,91636 Lucas Brook Suite 258,Turnerton,24257,Alaska,UK,001,890,9546028543,Brandon.Powell@yahoo.com,1919831.2956470589,10586635.411764706,21-May-19,Health and safety inspector,N,M,336527.6243738235,1346110.497495294,573720.7981517648,2,21
26,Douglas,Blankenship,John Blankenship,F,M,M,03-Jun-67,India,Y,BJLPB6327S,665-20-1611,aadhaar,92,western,935 Michelle Summit Apt. 361,Mitchellport,90385,Louisiana,India,091,327,9186785264,Douglas.Blankenship@yahoo.com,5133513.130823529,16529295.0,21-May-19,Environmental health practitioner,N,M,694973.1124715294,3474865.562357647,1658647.5684658824,2,52
27,Thomas,Anderson,Sherry Anderson,S,M,M,31-May-77,India,Y,EWJPA3891Q,533-51-7422,aadhaar,47,a,7625 Robert Springs Suite 287,Lake Julie,62921,Michigan,India,091,059,9064724866,Thomas.Anderson@yahoo.com,3728903.1825882355,9919813.588235294,21-May-19,Administrator,N,H,846553.0833270588,2539659.2499811766,1189243.932607059,3,42
